Segment Number,Scene Title ,Start Time 2,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - camera cut,Scene Details - setting,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,valence
170,,552,09:12,09:15,690,"Gru is driving:""Nice work, Doctor. All systems go.""",shot 137,,outdoor,Gru,Gru,Gru,aircraft,medium,,yes,4,+
171,,556,09:16,09:16:40,695,"the bad guy jumps on the window:""Boo-ya!""",shot 138,,outdoor,bad guy,bad guy,bad guy,aircraft,medium,,yes,5,-
172,,557,09:17,09:18,696,Gru is surprised by the bad guy,shot 139,,outdoor,Gru,Gru,Gru,aircraft,medium,,yes,5,-
173,,558,09:18,09:18:50,698,Gru truns on the electrcity,shot 140,,outdoor,"Gru, bad guy","Gru, bad guy",not apply,aircraft,close up,,yes,4,-
174,,559,09:19,09:24,699,"the bad guy is shocked by the electricity, so he falls off of the aircraft",shot 141,,outdoor,bad guy,bad guy,not apply,aircraft,medium to long,,yes,4,-
175,,564,09:24,09:26,705,the bad guy is falling,shot 142,,outdoor,bad guy,bad guy,not apply,sky,long,,yes,3,-
176,,566,09:26,09:30,708,"the bad guy is falling, so he opens the fight suit:""My flight suit.""",shot 143,,outdoor,bad guy,bad guy,bad guy,sky,medium,,yes,3,-
177,,570,09:30,09:36,713,"The bad guy flies on the sky until he hit the high-tension busbar:""Oh, yeah! Once again, the mighty.""",shot 144,,outdoor,bad guy,bad guy,bad guy,sky,long to medium,,yes,5,-
178,,576,09:36,09:38,720,"the bad guy is shocked again, so he fail to the ground:'ahhhh""",shot 145,,outdoor,bad guy,bad guy,bad guy,sky,long,,yes,4,-
179,,578,09:38,09:40,723,"the aircraft is shaking, and Gru:"" ahhhhh""",shot 146,,outdoor,Gru,Gru,Gru,aircraft,close up,,yes,5,-
180,,580,09:40,09:46,725,minion is flowing on the sky and he is hitted by the air craft,shot 147,,outdoor,minion,minion,not apply,space,long,,no,4,-
181,,586,09:46,09:48:55,733,the aircraft keep elevating,shot 148,,outdoor,aircraft,aircraft,not apply,sky,long,,no,3,-
182,,589,09:49,09:50,736,the lamp is shaking,shot 149,,outdoor,lamp,lamp,not apply,aircraft,close up,,no,4,-
183,,590,09:50,09:54:50,738,the aircraft keep moving. Then the power is off,shot 150,,outdoor,aircraft,aircraft,not apply,space,medium,,yes,3,-
184,,595,09:55,09:56,744,Gru is still manipulating the aircraft,shot 151,,outdoor,Gru,Gru,not apply,aircraft,close up,,yes,2,+
185,,596,09:56,10:00,745,the aircraft separates into parts,shot 152,,outdoor,aircraft,aircraft,not apply,space,medium to close up,,yes,2,+
