Segment Number,Scene Title ,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - when the camera cuts,Scene Details ,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal (?),valence (+ / - ),,,,,,,
33,,171,173,214,"Agnes in her bed, askign: ""What about goodnight kisses?""", ,,Indoor,Agnes,Agnes,Agnes,Girls' bedroom,Medium,,N,2, +,,,,,,,
34,,173,175,216,"Gru turns away from the girls, halfway behind the door and looks down. ""No-no-no"" he says, shaking his head softly.", ,,Indoor,"Gru, Edith, Agnes, Margo",Gru,Gru,Girls' bedroom,Medium / Long,,Y,2, -,,,,,,,
35,,176,179,220,"The girls look on as Gru walks out the door, closing it. ""There will be no kissing or hugging, or kissing"" we can hear him say. The girls all jump slightly as the door closes.", ,,Indoor,"Gru, Agnes, Edith, Margo","Agnes, Edith, Margo",Gru,Girls' bedroom,Medium / Long,,Y,3, -,,,,,,,
36,,179,181,224,"Margo and Edith crawl into bed in silence, Agnes look on.", ,6. Girls alone,Indoor,"Edith, Agnes, Margo",-,-,Girls' bedroom,Long,,Y,2, -,,,,,,,
37,,181,184,226,"Margo crawls under her blanket, ""He is not gonna kiss us goodnight Agnes"", she says and turns off her lamp.", ,,Indoor,Margo,Margo,Margo,Girls' bedroom,Medium,,Y,2, -,,,,,,,
38,,185,187,231,"Agnes rubs her eye and says: ""I like him. He's nice.""", ,,Indoor,Agnes,Agnes,Agnes,Girls' bedroom,Medium,,Y,2, +,,,,,,,
39,,187,188,234,"Edith lies in bed, turns off her lamp as she adds: ""But scary.""", ,,Indoor,Edith,Edith,Edith,Girls' bedroom,Medium,,Y,1, +,,,,,,,
40,,189,190,236,"Agnes sits in bed, looks thoughful then says: ""Like Santa!""", ,,Indoor,Agnes,Agnes,Agnes,Girls' bedroom,Medium,,Y,2, +,,,,,,,
41,,191,194,239,"We see all girls in bed, Agnes lies down and turns off her lamp. The room goes dark.", ,,Indoor,"Agnes, Edith, Margo",Agnes,-,Girls' bedroom,Long,,Y,1, +,,,,,,,
42,"Gru walks down the hallway, Dr. Nefario engages him in conversation",195,201,244,"Gru in the hallway, he looks towards the door but then starts walking, putting his hands behind his back.", ,7. Gru alone in the hallway,Indoor,Gru,Gru,-,Hallway,Long,,Y,3,-,,,,,,,
43,,202,206,253,"A pan of an old, yellowy family tree for Gru's family hanging on the wall - with drawings of Margo, Agnes and Edith added at the bottom. There are other crayon drawinsg on the wall and toys all over the floor.", ,,Indoor,-,-,-,Hallway,Medium,"The Gru Family (and) margo, agnes, edith",Y,2, +,,,,,,,
44,,207,214,259,"Gru smiles and bends down to pick up a toy brush. Dr. Nefario walks in behind him and says: ""Only 48 hours to the launch!"" He stands at attention and adds, with a swing of his arm: ""And all systems are go!"". Gru turns around to face him.", ,8. Dr. Nefario checks up on Gru's dedication,Indoor,"Gru, Dr. Nefario","Gru, Dr. Nefario",Dr. Nefario,Hallway,Medium,Poison Oak,Y,2, +,,,,,,,
45,,214,216,268,"Gru says ""Uuhhhh"" and bends down.", ,,Indoor,"Gru, Dr. Nefario",Gru,Gru,Hallway,Medium,The Gru (and when he bends): Family,Y,1, -,,,,,,,
46,,216,218,270,"Gru's hand close to the floor, as he picks up a pink toy mirror and a candy cane. ""About that..."" he is heard saying.", ,,Indoor,Gru,Gru,Gru,Hallway,Close,,Y,1, -,,,,,,,
47,,218,244,273,"""I was thinking"" says Gru, glancing up at Dr. Nefario as he continues picking up toys, ""that maybe we could move the date of the heist."" He turns slightly away from Dr. Nefario as he continues pickign up toys. Dr. Nefario steps forward and puts his hands behind his back. ""Please tell me this is not as a result of the girls' dance recital. Is it?"" he says. Gru backs away, his arms full of toys and says: ""No no. No! No! The recital? Don't... that's stupid. I just think it's... kind of weird to do it on a Saturday. I was thinking maybe... hesit is a Tuesday thing, right?"". WHiel speaking he moves slowly down the hallway, turning his back to D.r. Nefario", ,,Indoor,"Gru, Dr. Nefario","Gru, Dr. Nefario",Gru,Hallway,Medium,The Gru Family,Y,2,-,,,,,,,
48,,245,252,306,"Dr. Nefario says, gesturing with his hands: ""Gru! You and I have been working on this for years. It is everything we've dreamed of! Your chance to make history.""", ,,Indoor,Dr. Nefario,Dr. Nefario,Dr. Nefario,Hallway,Medium,,Y,4, -,,,,,,,
49,,253,256,316,"Gru furrows his brow, looking down and away, his arms full of toys. ""Become the man who stole the moon."" Dr. Nefario can be heard saying.",,,Indoor,Gru,Gru,Dr. Nefario,Hallway,Close,,Y,3, -,,,,,,,
50,,256,261,320,"""But these girls are becoming a major distraction!"" Dr. Nefario says, gesturing wildly. He puts his arms down and says: ""They need to go"".", ,,Indoor,Dr. Nefario,Dr. Nefario,Dr. Nefario,Hallway,Close,,Y,4, -,,,,,,,
51,,262,266,328,"Dr. Nefario takes a step closer to Gru, points his finger at him while saying: ""If you don't do somethign about it, then I will.""", ,,Indoor,"Dr. Nefario, Gru","Dr. Nefario, Gru",Dr. Nefario,Hallway,Medium,The Gru Family,Y,4, -,,,,,,,
52,,266,271,333,"Gru look sat Nefario, then away. ""I understand,"" he says, turns and walks away.", ,,Indoor,"Dr. Nefario, Gru",Gru,Gru,Hallway,Medium,,Y,2, -,,,,,,,
53,,271,274,339,"""Good"", says Dr. Nefario with a slight nod.", ,,Indoor,Dr. Nefario,Dr. Nefario,Dr. Nefario,Hallway,Close,,Y,1, -,,,,,,,
54,Minions with copier,274,282,343,"Two minions ae standing in front of a copier, a bit of a third one sittign atop it is visible. Copies are coming out, the two minions look at each other and giggle, one of them saying ""Butt"". One of them pick one up, they look at each other and he starts laughing and says: ""Butt"". The other minion picks up the other copy coming out of the machine, looks at it and starts laughing", ,9. Minions messing around,Indoor,(mionion names?),??, ???,Lab,Medium,,N,2, +,,,,,,,
55,,283,297,354,"The minions continue laughing, as one on the ground hands a copy up to the one sitting on the copier. They laugh loudly, throwing their heads back. In the background, a tiny spaceships starts glowing blue and shaking, suddenly rapidly expanding in size. As it does so, the tip of the space ship spears the copy in the hand of the minion sitting on the copier. The minions stop laughing and look around. Another copy comes out of the maching, one picks it up and he says: ""Eh, eh, eh!"". He blows a raspberry and turns the copy around, exclaiming: ""Butt!"". They all resume laughing.", ,,Indoor,(mionion names?),??, minions?,Lab,Long,,Y,2, -,,,,,,,
