Scene Title ,Segment Number,Start Time 2,Start Time (s) , End Time (s) ,Start TR,Camera cut,"Segment Details - dialogue, movement",Scene Details - setting,Space,Name - All,Name - Focus,Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,Valence,Temporal Relationship ,Type of Jump,,,,,
,40,166,2:46,2:50,208,30,"Gru snaps the book closed and exits frame; Agnes tells him to ""wait""",Gru refuses to give the girls kisses and leaves the room,Indoor,"Gru, Edith, Margo, Agnes","Gru, Agnes","Gru: ""The end, ok, good night!"" Agnes: ""Wait!""",Bedroom,medium,no,no,3,-,,,,,,,
,41,170,2:50,2:51,213,31,"Gru responds ""What?"" to Agnes's cry to wait",,Indoor,"Gru, Edith, Margo, Agnes",Gru,"Gru: ""What?""",Bedroom,long,no,no,3,-,,,,,,,
,42,172,2:52,2:53,215,32,Agnes asks for good-night kisses,,Indoor,Agnes,Agnes,"Agnes: ""What about goodnight kisses?""",Bedroom,short,no,no,3,-,,,,,,,
,43,174,2:54,2:56,218,33,Gru refuses to kiss the girls and begins exiting the room,,Indoor,"Gru, Edith, Margo, Agnes",Gru,"Gru: ""No no no...""",Bedroom,medium,no,yes,3,-,,,,,,,
,44,177,2:57,2:59,221,34,"Gru exits, and the door closes",,Indoor,"Gru, Edith, Margo, Agnes",Gru,"Gru: ""There will be no kissing or hugging, or kissing.""",Bedroom,medium,no,yes,3,-,,,,,,,
,45,180,3:00,3:02,225,35,Margo pulls herself into bed,"The girls express dismay over Gru's refusal to give bedtime kisses, but state that they like him before going to bed",Indoor,"Edith, Margo, Agnes",Margo,N/A,Bedroom,medium,no,yes,2,-,,,,,,,
,46,183,3:03,3:05,229,36,"Margo tells Agnes Gru won't kiss them good night, and turns off her bed-light to go to sleep",,Indoor,Margo,Margo,"Margo: ""He's not gonna kiss us goodnight, Agnes."" ",Bedroom,medium,no,yes,2,-,,,,,,,
,47,186,3:06,3:07,233,37,Agnes says she likes Gru,,Indoor,Agnes,Agnes,"Agnes: ""I like him, he's nice.""",Bedroom,short,no,yes,2,+,,,,,,,
,48,188,3:08,3:09,235,38,Edith says she also likes Gru but that he's scary,,Indoor,Edith,Edith,"Edith: ""But scary.""",Bedroom,medium,no,yes,2,+,,,,,,,
,49,190,3:10,3:11,238,39,Agnes says Gru is like Santa,,Indoor,Agnes,Agnes,"Agnes: ""Like Santa!""",Bedroom,medium,no,yes,2,+,,,,,,,
,50,192,3:12,3:14,240,40,Agnes turns off her light and goes to bed,,Indoor,"Edith, Margo, Agnes",Agnes,N/A,Bedroom,long,no,yes,1,+,,,,,,,
Dr. Nefario confronts Gru about his plan to steal the moon,51,195,3:15,3:21,244,41,Gru walks in the corridor,Gru sees that the girls have added themselves to his family tree,Indoor,Gru,Gru,N/A,Corridor,medium,no,yes,1,+,,,,,,,
,52,202,3:22,3:23,253,42,Gru sees his original family tree,,Indoor,N/A,N/A,N/A,Corridor,short,yes,yes,1,+,,,,,,,
,53,204,3:24,3:27,255,42,Gru sees the picture drawn of the girls added to the family tree,,Indoor,N/A,N/A,N/A,Corridor,short,yes,yes,1,+,,,,,,,
,54,208,3:28,3:34,260,43,Dr. Nefario walks up to Gru and tells him their plan is ready to be executed,"Dr. Nefario tells Gru to get rid of girls, as they are distracting him from his plan to steal the moon",Indoor,"Gru, Dr. Nefario",Dr. Nefario,"Dr. Nefario: ""Only 48 hours until the launch! All system are go.""",Corridor,medium,yes,yes,3,-,,,,,,,
